sentence, cat
print a,print,a
print ability,print,ability
print able,print,able
print aboard,print,aboard
print about,print,about
print above,print,above
print accept,print,accept
print accepted,print,accepted
print accident,print,accident
print according,print,according
print account,print,account
print accurate,print,accurate
print acres,print,acres
print across,print,across
print act,print,act
print action,print,action
print active,print,active
print activities,print,activities
print activity,print,activity
print acts,print,acts
print actual,print,actual
print actually,print,actually
print add,print,add
print added,print,added
print adding,print,adding
print addition,print,addition
print additional,print,additional
print adjective,print,adjective
print adjectives,print,adjectives
print adult,print,adult
print adventure,print,adventure
print advice,print,advice
print affect,print,affect
print afraid,print,afraid
print africa,print,africa
print african,print,african
print after,print,after
print afternoon,print,afternoon
print again,print,again
print against,print,against
print age,print,age
print ago,print,ago
print agree,print,agree
print agreed,print,agreed
print ahead,print,ahead
print aid,print,aid
print air,print,air
print airplane,print,airplane
print airplanes,print,airplanes
print alaska,print,alaska
print alice,print,alice
print alike,print,alike
print alive,print,alive
print all,print,all
print allow,print,allow
print allowed,print,allowed
print almost,print,almost
print alone,print,alone
print along,print,along
print aloud,print,aloud
print alphabet,print,alphabet
print already,print,already
print also,print,also
print although,print,although
print always,print,always
print am,print,am
print america,print,america
print american,print,american
print americans,print,americans
print among,print,among
print amount,print,amount
print amounts,print,amounts
print an,print,an
print ancient,print,ancient
print and,print,and
print andy,print,andy
print angle,print,angle
print angles,print,angles
print angry,print,angry
print animal,print,animal
print animals,print,animals
print ann,print,ann
print announced,print,announced
print another,print,another
print answer,print,answer
print answered,print,answered
print answers,print,answers
print ants,print,ants
print any,print,any
print anybody,print,anybody
print anyone,print,anyone
print anything,print,anything
print anyway,print,anyway
print anywhere,print,anywhere
print apart,print,apart
print apartment,print,apartment
print appear,print,appear
print appearance,print,appearance
print appeared,print,appeared
print appears,print,appears
print apple,print,apple
print apples,print,apples
print applied,print,applied
print appropriate,print,appropriate
print april,print,april
print are,print,are
print area,print,area
print areas,print,areas
print arent,print,arent
print arithmetic,print,arithmetic
print arm,print,arm
print arms,print,arms
print army,print,army
print around,print,around
print arrange,print,arrange
print arranged,print,arranged
print arrangement,print,arrangement
print arrive,print,arrive
print arrived,print,arrived
print arrow,print,arrow
print arrows,print,arrows
print art,print,art
print article,print,article
print articles,print,articles
print as,print,as
print asia,print,asia
print aside,print,aside
print ask,print,ask
print asked,print,asked
print asleep,print,asleep
print at,print,at
print ate,print,ate
print atlantic,print,atlantic
print atmosphere,print,atmosphere
print atom,print,atom
print atomic,print,atomic
print atoms,print,atoms
print attached,print,attached
print attack,print,attack
print attempt,print,attempt
print attention,print,attention
print audience,print,audience
print august,print,august
print aunt,print,aunt
print australia,print,australia
print author,print,author
print automobile,print,automobile
print automobiles,print,automobiles
print autumn,print,autumn
print available,print,available
print average,print,average
print avoid,print,avoid
print aware,print,aware
print away,print,away
print babies,print,babies
print baby,print,baby
print back,print,back
print bad,print,bad
print badly,print,badly
print bag,print,bag
print bags,print,bags
print balance,print,balance
print ball,print,ball
print balloon,print,balloon
print balls,print,balls
print band,print,band
print bank,print,bank
print banks,print,banks
print bar,print,bar
print bare,print,bare
print bark,print,bark
print barn,print,barn
print bars,print,bars
print base,print,base
print baseball,print,baseball
print based,print,based
print basic,print,basic
print basis,print,basis
print basket,print,basket
print bat,print,bat
print battle,print,battle
print bay,print,bay
print be,print,be
print beans,print,beans
print bear,print,bear
print bears,print,bears
print beat,print,beat
print beautiful,print,beautiful
print beauty,print,beauty
print became,print,became
print because,print,because
print become,print,become
print becomes,print,becomes
print becoming,print,becoming
print bed,print,bed
print been,print,been
print bees,print,bees
print before,print,before
print began,print,began
print begin,print,begin
print beginning,print,beginning
print begins,print,begins
print begun,print,begun
print behavior,print,behavior
print behind,print,behind
print being,print,being
print believe,print,believe
print believed,print,believed
print bell,print,bell
print bells,print,bells
print belong,print,belong
print belonged,print,belonged
print belongs,print,belongs
print below,print,below
print belt,print,belt
print ben,print,ben
print bend,print,bend
print beneath,print,beneath
print bent,print,bent
print beside,print,beside
print besides,print,besides
print best,print,best
print bet,print,bet
print betsy,print,betsy
print better,print,better
print between,print,between
print beyond,print,beyond
print bicycle,print,bicycle
print big,print,big
print bigger,print,bigger
print biggest,print,biggest
print bill,print,bill
print billy,print,billy
print bird,print,bird
print birds,print,birds
print birth,print,birth
print birthday,print,birthday
print bit,print,bit
print bite,print,bite
print bits,print,bits
print black,print,black
print blank,print,blank
print blanket,print,blanket
print blew,print,blew
print blind,print,blind
print block,print,block
print blocks,print,blocks
print blood,print,blood
print blow,print,blow
print blowing,print,blowing
print blue,print,blue
print board,print,board
print boat,print,boat
print boats,print,boats
print bob,print,bob
print bodies,print,bodies
print body,print,body
print bone,print,bone
print bones,print,bones
print book,print,book
print books,print,books
print boots,print,boots
print border,print,border
print born,print,born
print boston,print,boston
print both,print,both
print bottle,print,bottle
print bottom,print,bottom
print bought,print,bought
print bound,print,bound
print bow,print,bow
print bowl,print,bowl
print box,print,box
print boxes,print,boxes
print boy,print,boy
print boys,print,boys
print brain,print,brain
print branch,print,branch
print branches,print,branches
print brass,print,brass
print brave,print,brave
print bread,print,bread
print break,print,break
print breakfast,print,breakfast
print breaking,print,breaking
print breath,print,breath
print breathe,print,breathe
print breathing,print,breathing
print breeze,print,breeze
print brick,print,brick
print bridge,print,bridge
print brief,print,brief
print bright,print,bright
print bring,print,bring
print bringing,print,bringing
print brings,print,brings
print british,print,british
print broad,print,broad
print broke,print,broke
print broken,print,broken
print brother,print,brother
print brothers,print,brothers
print brought,print,brought
print brown,print,brown
print brush,print,brush
print buffalo,print,buffalo
print build,print,build
print building,print,building
print buildings,print,buildings
